m.a.	sítil dømis
mala sundur	Samheiti:ryðja,skryðjamala kaffi, korn o.fl.;ryðja malt;skryðja (t.e.) mala grovt;□kornið er skrutt↔brotin,knúsa,smákornuturAndheiti:elta
maldra	síendurtaka
malingur	síumskiftiligur
malisjønskur	símannvándur,ófúsur
malisjøskur	símannvándur,ófúsur
maljuformur	síformur
malsjønskur	símannvándur,ófúsur
malsjøskur	símannvándur,ófúsur
malustreymur	sístreymur
malørur	sílevind
mamma	síepli,móðir
mammba	sískyldfólk
mammonstrælur	síkargakoka
mammubeiggi	sískyldfólk
mammudrongur	síkelivætti,kventil
mammulókur	síkelivætti
mammumussur	síkossur
mammunuggur	síkelivætti
mammureyv	síkelivætti
mammusonur	síkelivætti
mammusystir	sískyldfólk
mana	síelva,ganda,noyða
manari	síævintýrhugtak
manda	síkradda
mandig	síkallmanslig
mandigur	síprúður
mandlugáva	sígáva
mandlugrýti	sígrót
mandlusteinur	sígrót
mandolinfepur	sítimburmenn
mangan	síofta
mangastaðni	síallastaðni
mangla	sítróta
manglandi	sítróta
mangur	símeginpartur,nakar,nógvur
mann	sínakar
manna	síhópa,útnevna
mannaandi	sísinnalag
mannaátari	síátari
mannaávum	símanngjørdur
mannabarn	síbarn,persónur
mannabein	síbeinaræ
mannablóð	síblóð
mannabúkar	síbeinaræ,likam
mannabygd	síbýur
mannadeyði	sídeyði,yvirlit
mannadroyri	síblóð
mannaður	sífullmannaður
mannafelli	sídeyði
mannafívil	síbýttlingur
mannaflokkur	sínøgd
mannafótur	sífótur
mannafundur	sífundur
mannaføði	símatur
mannageyl	sískríggj
mannagongd	síarbeiðslag,gonga
mannagøta	síkoyrivegur
mannaheimur	sípersónur,verøld
mannahjarta	sísinnalag
mannahjálp	síhjálp
mannahópur	sínøgd
mannahugsan	síáskoðan
mannajagstran	síelting
mannakor	sílíkindi(r)
mannakroppur	sílikam
mannakunnleiki	síklókskapur
mannakærleiki	síkærleiki
mannalagna	sílagna
mannalív	sígerandislív,lív
mannamál	sírødd,tos
mannamillum	símillum manna
mannaminni	sílívstíð
mannamuður	símunnur
mannamunnur	símunnur
mannamunur	símunur
mannamúgva	sínøgd
mannamúgvi	sínøgd
mannapíning	sípíning
mannapínsla	sípíning
mannarán	sítvingsil
mannargiligur	síargingarsamur
mannarippa	síleyslyntur persónur
mannaroynd	síroysnisgerð
mannaróp	síslatur
mannarættindi	sírættindi
mannasamfelag	sífelag
mannasál	sísinnalag
mannaskaði	sískaði
mannaskari	sínøgd
mannaskipan	símanning
mannaskjal	sískríggj
mannaskøltur	síhøvuðskál
mannasøga	sífrásøgn
mannasøgn	sífrásøgn
mannatala	sítos
mannatokki	síkærleiki
mannatol	sítol
mannatrekkur	sílortur
mannatrongd	sítrokan
mannavegur	síkoyrivegur
mannavinur	síhampafólk
mannavit	síklókskapur
mannaætt	sípersónur
mann ámanni	sírása
mannbit	síbitvargur
mannbít	síhundur
mannbítur	síbitvargur,hundur
mannblíður	sígóðsintur
mannbyrði	síbering
mannbærur	sílættur
manndómsár	síbarnaár
manndómsbragd	síroysnisgerð
manndómsmaður	síavtakafólk
manndómsroysni	síroysnisgerð
manndómsverk	síroysnisgerð
manndómur	síbarnaár,dirvi,mikilleiki
manndráp	sídráp
manndrápari	sídrápsmaður
mannfall	sídeyði
mannfelag	sífelag
mannfelli	sídeyði
mannfíggindaligur	símannvándur
mannfíggindi	síóflýggjakroppur
mannfjøld	sínøgd
mannfólk	síavtakafólk,húsbóndi,kallvera
mannfólkaandlit	síandlit
mannfólkaarbeiði	síarbeiði
mannfólkabúni	síklæði(r)
mannfólkaeydna	síeydna
mannfólkaflenna	síleyslyntur persónur
mannfólkafleyggja	síleyslyntur persónur
mannfólkagalin	sígraður
mannfólkahond	sífullmannaður
mannfólkahugur	sígreði
mannfólkakamar	síhøli
mannfólkaklæði	síklæði(r)
mannfólkalig	síkallmanslig
mannfólkaligur	síprúður
mannfólkamegin	síhøgrumegin
mannfólkanavn	sínavn
mannfólkarimpa	síleyslyntur persónur
mannfólkarippa	síleyslyntur persónur
mannfólkarødd	sírødd
mannfyltur	síjavnstrokin
mannføri	síbyrði
mannførur	sílættur,prúður
manngalin	sígraður
manngarður	síverndSamheiti:mannringur
manngingin	síniðurtraðkaður
manngjøld	síendurgjald
manngjørdur	av fólkavoldum;av fólki;av mannaávum;av mannahond;av manna atvoldum, orsøkum;gjørdur av mannahond, manshond;□hetta er mannaverk(heimagjørdur)handbundin,handgjørdur,handseymaður,heimabakaður,heimabundin,heimaspunnin,heimavaksin,heimavirkaður,heimavovinbundin, gjørdur, virkaður o.fl. heima;gjørdur í, við hond(kunstigur)eftirgjørdur,gjørdur,kunstugur,kunsturligur,tilgjørdur(maskingjørdur)burturspunnin,maskinbundin,maskinspunnin↔sjálvgivin
manngonga	sígonga
manngóðska	síkærleiki
manngóður	sígóðsintur
manngøta	síkoyrivegur
mannhali	síriðil
mannhjálp	síhjálp
mannhol	síhol
manniliga	Samheiti:dirvisliga,djarvliga,dreingiliga,drístiliga,gívurliga,hertugliga,kásaliga,knásaliga,knásamliga,mansliga,menniliga,reystiliga,reystliga,reystmansliga,roystmansliga↔avtakafólk,bjartskygni,dirvi,djarvur,dyggiliga,erpisliga,kraftamaður,megi,megna,meistaraliga,munadyggur,nasadjarvur,óttaleysur,sterkur
manning	Samheiti:borgarlið,borgarlýður,fólk,innifólk,mannaskipan,mannskap,mannskapur,skipa,skipan,starvslið,trískiftivakt,úrvalsmanning,vakt(bátsmanning)bátmaður,bátskipan,bátsmaður,bátsskipa,bátsskipan,skipsfólk,skipsmanning(fjallfólk)fjallskipan(ítróttalið)býlið,dreingjalið,fimleikalið,fótbóltslið,gentulið,heimalið,landslið,manslið,oddalið,piltalið,unglingalið,úrvalslið,útilið(lið)skótalið,sløkkilið o.fl.↔felagslimur,fullmannaður,spæla bólt,tilnevning,útnevna
manningarlisti	síyvirlit
manningarpartur	sípartur
manningarrúm	síhøli
mannkomin	sítilkomin
mannkykt	sípersónur
mannkyn	síkallvera,persónur
mannkær	sígraður
mannleys	síeinsamallur
mannleysur	sífólkaoyðin,óvardur
mannligur	síí manslíki,kallkendur
mannloysi	sítørvur
mannlyndi	sísinnalag
mannlýsing	síallýsing,frásøgn
mannmildi	síkærleiki
mannminkan	síeyðmýking
mannminkandi	sívanæruligur
mannmynd	síeftirgerð,ímynd
mannoffur	síoffurgáva
mannoyddur	sífólkaoyðin
mannoyði	síoyðistaður
mannoyðin	sífólkaoyðin
mannpartur	sípartur
mannreitingur	síargapetti
mannringur	símanngarður
mannroynd	síroysnisgerð
mannræddur	sífólkaskýggin
mannræðsla	síræðsla
mannskaði	sídeyði,skaði
mannskap	símanning
mannskapspartur	sípartur
mannskapur	símanning,megi
mannsláttur	sídeyði,dráp,kríggj
mannspell	sídeyði
mannsterkur	sífullmannaður
mannstórur	síhøgur
mannstyggur	sífólkaskýggin
mannsømandi	Samheiti:mannsømiligur,mannverdur,mannvirðiligur,mansligur↔fólkaligur,hábærsliga,hábærsligur,høviskliga,mentan,verdigurAndheiti:ósømiligur
mannsømd	síábyrgdarkensla
mannsømiligur	símannsømandi
manntal	sískyldfólk,uppreksan,yvirlit
manntalslisti	síyvirlit
manntokki	síeydna
manntómur	sífólkaoyðin
manntýggi	sívánamaður
mannúlvur	síneyt
mannvaksin	sítilkomin
mannvargur	síbitvargur,hundur,óflýggjakroppur
mannvándur	Samheiti:arggivin,argur,bankaður,bannaður,bannsettur,barnvándur,beiskhugaður,beistakendur,beistaligur,dekansligur,dekanssettur,dekanssignaður,devulsligur,devulssettur,djevulskur,djevulsligur,djevulssettur,dømandi,eitursettur,fanakendur,fananskendur,fanansligur,fíggindaligur,forbankaður,forbannaður,forbanniligur,forbeiggjaður,forbiðin,forbrendur,forbøllaður,fordrógvaður,forgjúaður,forgjúgvaður,forgjørdur,forherðaður,forkolaður,forrendur,forsignaður,forsmáttaður,forveiggjaður,fyrilitsleysur,gastutur,giftsettur,grammur,grimdarmikil,grimmur,grimur,grummur,grundarringur,grundringur,gudsbermiligur,gudsbørmiligur,harðdømdur,harðrendur,harður,hatskur,haturmikil,hatursamur,herviligur,hjarnaður,illanssettur,illavorðin,illfúsur,illgrundaður,illhugaður,illkynjaður,illmeintur,illmuraður,illnatin,illur,illviljaður,illviljandi,ilskufúsur,ilskusnúgvin,lítillátaður,lítillátin,lítillátur,lívshatskur,knevilssettur,malisjønskur,malisjøskur,malsjønskur,malsjøskur,mannfíggindaligur,mansjønskur,meinfýsin,meinhugaður,meinskur,miskunnarleysur,miskunnleysur,náðarleysur,náðileysur,óargaligur,ódællur,ódælur,óflýggjaður,óflýggjaligur,ólukksáligur,ólukkusettur,ómenniskjansligur,ómildur,óndskapsligur,óndur,óreinsettur,óreinskusettur,óreinur,órímiligur,óstundarsettur,óviðeiriligur,púrgjørdur,ramur,ráðavándur,rámur,ráur,ringur,ræðiligur,ræðuligur,samvitskuleysur,sátanskur,skaðafróur,skammsettur,skammsignaður,skálkaligur,sneiðursettur,sneiðursignaður,spitalskur,stokksettur,stundarsettur,tjóvskur,tjóvssettur,tramansligur,vándur,yvirgivin,ørligurbonskligur, bonskur í orðalag, orðavali;fullur í hatri;harður í skapi;illa artaður;illur í sær;illur í, við brennivíni;ringur av natúr;vándur í ráðum;○sum er uttan fyrilit;sum hevur ringa muru;sum tekur (fólki) alt illa upp;□hann er ein devuls kvistur, lúsa hólkur, sátans urt o.fl.;hann er ein sovorðin djevuls, fjandans, fjendans, helvitis, veikans...;hann er ein sovorðin devuls, fanans, lorta, ólukku, tramans, upphangandi... o.fl.;hann er eitt ilt, ónt, ringt fólk, menniskja;hann hevur bæði horn og hala, horn og kløur, eitt ilt hjarta;nú er tað øra lagið á honum;nú síggjast, stinga hógvarnir undan;tað átti at verið tikið av tonnunum á honum;tað er ein málmur og mura;tað er ringur málmur í honum↔fíggindi,harðhjartaður,hjartaloysi,illa dámdur,illsemjast,ilskast,klandursvætti,kravmikil,lúnuskøltur,mótstøðumaður,óflýggjakroppur,ófúsur,óndskapur,ósemja,óvinarliga,skálkagerð,snarsintur,svik,svika,svikafullur,svikari,tvørlyndi,vreiði,vreiður,yppa klandur,ætla ilt,ørskapurAndheiti:ásttikin,góðsintur
mannvera	sípersónur
mannveran	símedferð,sinnalag
mannverdur	símannsømandi
mannvinur	síhampafólk
mannvirði	síábyrgdarkensla
mannvirðiligur	símannsømandi
mansaldur	sílívstíð
mansandlit	síandlit
mansarbeiði	síarbeiði
mansbarn	síbarn,persónur
mansbót	síendurgjald
mansbragd	síroysnisgerð
mansbróðir	sískyldfólk
mansbyrði	síbyrði
mansdirvi	sídirvi
manseiti	síkventil,vánamaður
mansevni	síavtakafólk,kraftamaður,megi,tilfar
mansfjøld	sínøgd
mansfótur	sífótur
mansføri	síbyrði
mansførur	sílættur
mansgerð	síroysnisgerð
manshjarta	sídirvi
manshond	sílógvi
manshædd	síhædd
manshøgur	síhøgur
manshøvd	síhøvur
manshøvur	síhøvur
mansjønskur	símannvándur,ófúsur
manskett	síútlinja
manskór	sísangari
manskreftir	símegi
manskykt	sípersónur
manskyn	sípersónur
mansleypur	síkassi
manslið	símanning
manslig	síkallmanslig
mansliga	síhøviskliga,manniliga
mansligur	símannsømandi,prúður
manslít	sígagn
manslyndi	sídirvi
manslæti	sídirvi
mansmaki	síkallmanslig,líki
mansmegi	símegi
mansmerki	síspor
mansmetta	símatur
mansmorð	sídráp
mansmót	sídirvi
mansmynd	símynd
mansnavn	sínavn
manspartur	sípartur
mansroynd	síroysnisgerð
mansrødd	sírødd
mansskurður	síarbeiði
manssonur	síJesus
manssystir	sískyldfólk
manstandur	sípinkulingur,vánamaður
mansverður	símatur
mansvit	síklókskapur
mansævi	sílívstíð
mararvøttur	sínjarðarvøttur
maratonrenning	sírenning
marbakki	síbakki
marbendil	sítari,ævintýrhugtak
margarin	sífitievni
margbroyttur	sífjølbroyttur,mislyntur
margbýli	síbústaður
margbýlingur	síbústaður
margbøðil	síóflýggjakroppur
margfalda	síendurgeva,rokna
margfaldur	sífleirfaldur,nógvur
margfeldi	sífjølbroytni,nøgd
margføttur	síbeintur
margháttaður	sífjølbroyttur
margháttligur	sífløktur,óvanligur
marghøvdaður	sífjølbroyttur,mislyntur
margklókur	síklókur
margkreftigur	síraskur
margkynjaður	sífjølbroyttur
margkæti	sígleði
margkønur	sífullkønur
marglatin	símatfegin,øvundsjúkur
margliðaður	sífjølbroyttur
marglittur	síprikkutur
marglæti	síát,matur,oyðslusemi,trá,vansketni
marglætisvøra	sívøra
margmillióningur	síríkmaður
margpikkiliga	síógvuliga
margpikkiligur	sínógvur,óvanligur
margskálkur	síóflýggjakroppur
margsnillingur	síavtakafólk
margtáttaður	sífjølbroyttur
margtýddur	sífjølbroyttur
margtýriligur	sínógvur
margur	símeginpartur,nógvur
marivøttur	sínjarðarvøttur
marja	sísanniliga
mark	síendamál,eyðkenniSamheiti:fiskimark,geilartræ,landamark,landoddi,markaskil,markaskjal,markasteinur,marknagrøv,marknaknubbi,marknará,marknasteinur,marknatoppur,marknavarði,marknaveit,mál,mállinja,miðlinja,náming,reim,rein,síðulinja,sjómark,skil,skjal,tollmark(marknagarður)bøgarður,eingjargarður,garður,girdi,girði,girðing,hagagarður,hegn,kjarrgirðing,inngirðing,merkisgarður,stik,stika,stikugarður,útgarður(markvirði)aldursmark,avmarking,endamark,ferðmark,frostmark,hámark,hungursmark,hædd,hæddarstig,kavanám,kókimark,kókingarmark,lágmark,magn,mestamark,mestavirði,niðurmark,norðurmark,nullmark,suðurmark,útmark,vatngangur,vatnlinja,vatnmerki,vatnnámhægsta mark, stig;hægst, mest loyvda ferð, hædd;mest, minst loyvda, ytsta mark, ytsti endi(evstamark)evsta, seinasta freist↔avbyrgdur,frest,garður,randa,tíðaravmarkaður,útlinja
marka	sífrámerkja,granni,skaða
markabræv	síyvirlit
markaskil	símark
markaskjal	símark
markasteinur	símark
markatalsbygd	síbýur
markatjóvur	sítjóvur
marking	síallýsing,eyðmerking
markleysur	símikil,nógvur,varandi
markloysi	síendaloysi
markmið	síendamál
marknaðarbúskapur	síbúskapur
marknaðarkanning	síkanning
marknaðarland	sístatur,sølubúð
marknaðarprísur	síprísur
marknaður	síhandilsskapur,sølubúð
marknafylgi	síseyður
marknagarður	símark
marknagrøv	símark
marknahandil	síhandilsskapur
marknaknubbi	símark
marknaland	sígranni
marknaleið	sígranni
marknamaður	sígranni
marknará	símark
marknaseyður	síseyður
marknast	síbúsetast
marknasteinur	símark
marknastríð	síósemja
marknatjóvur	sítjóvur
marknatoppur	símark
marknatræta	síorðaskifti,ósemja
marknavarði	símark
marknaveit	símark
marknavørður	sívaktari
markskilja	sínágreina
markur	sípeningur
markvirði	símark
marleggur	sípína
marmarasteinur	sígrót
marmari	sígrót
marmennil	síævintýrhugtak
marmor	sígrót
marra	síbiðja,dálk,dálka,vatn,ævintýrhugtak
marrast	síbiðja
marravøttur	sínjarðarvøttur
marrukeili	síótrivavætti
marrur	sídálk
marrurenna	síá
marrutur	sínærgongdur,skitin
mars	sínú
marsa	sínoyða
marsjur	sítónalag
marsoppur	síegg
martl	sísár
martla	síklóra,kuta
marur	síhav
marúlvur	síævintýrhugtak
marva	síslíta upp
marvaður	síslitin
marvast	símatast burtur
mas	símøsn
masa	símøsna
masafjasa	símøsnari
maska	sídularbúni
maskina	símotorur
maskinamboð	síamboð
maskinarí	símotorur
maskinbátur	sísjófar
maskinbundin	símanngjørdur
maskindunk	síljóð
maskingjørdur	símanngjørdur
maskinkraft	símegi
maskinmegi	símegi
maskinorka	símegi
maskinskriving	sískrift
maskinskúli	sískúli
maskinspunnin	símanngjørdur
maskriða	síhalli
mass	síseyður
mastigur	sídjarvur,nasadjarvur
mastrarband	símastrartog
mastrarbekkur	sísessur
mastrarfiskur	síhvalur
mastrarhol	síhol
mastrarhvalur	síhvalur
mastrarspenni	símastrartog
mastrartog	Samheiti:bátaspenni,bond,mastrarband,mastrarspenni,reiða,reiði,rigningur,spenni,stak,stakaspenni,stakspenni,stórvant,vant,vantur↔band
mastrigur	sídjarvur,nasadjarvur
mastur	Samheiti:afturmastur,askarmastur,bátsmastur,frammastur,meistur,mesanmastur,siglutræ,skipsmastur,spritmastur,stintur,stórmastur,toppstong,vond↔segl,sigla,sigling,stingunebbi,vinda upp segl
masutur	símøsnutur
mata	símatast burtur,slíta uppSamheiti:ala,breyðføða,egna,fita,fóðra,frælsa,føða,føðga,geva,gøða,leska,matføða,matskaffa,metta,nátta,ovmetta,seyrga,vetrarføðaala upp;bera á borð, inn á borðið;egna e-n (ein bita);fáa, geva e-m føði, mat;føða, hava inni (um veturin);føðga upp;geva (e-m) (ein bita) at eta;geva e-m lívsbreyð;geva kríatúrunum;leggja e-m gott í beinini;leggja í munnin;leska e-n niður á hjartað;seta fram mat;seta fyri e-n;seta (mat) á borðið;soppa inn fyri neyt(brynna)brynja,leska,seyrgageva at drekka, leppa, súgva;geva bróst;geva e-m, leska e-n ein dropa, munn, sopa o.fl.;geva mjólk, vatn;hava barn á brósti;leggja barn at brósti(borðreiða)dúkabakka upp;bera dúk á borð;breiða á borð;dúka, reiða borð;ganga fyri borðum;gera til;varta upp↔alari,eta,matfegin,matur,nøra,svangur,tystur,uppihalda
matað(ur)	sígróðrarbúgvin
matamboð	síamboð
mataramboð	síamboð
matará	síá
matarát	síát
matarbiti	símatur
matarborð	símatur
matarbót	Samheiti:bótarbein,bótarmoli,bótarsoð,bótartálg,bótarurt,buljong,høggbót,krydd,mørføtur,smakkevni,supputerningur,suppuurtir,súpanarbein,súpanarbót,tilsetningur(javningur)árøring,útágerð(kaffibót)sikur,tilsetningur↔krydda
matargóður	sídygdargóður
matargrein	símatur
matarhald	síát,matur
matarhvalur	síendurgjald,hvalur
matarhøll	síhøli
matarkendur	síetandi
matarlamb	síseyður
matarlyst	sítrá
matarlystur	sítrá
matarløgur	sívatn
matarmold	símold
matarmoli	símatur
matarmýggj	sífræ
matarnartl	símatur
matarpottur	sípottur
matarroykur	síluktur
matarseyður	síseyður
matarsild	sífiskur
matarskrá	síyvirlit
matarsteðgur	sífrítíð
matartrot	sítørvur
matartugga	símatur
matarvatn	sívatn
matarvøkstur	símatur
matast	sígrógva,matast burtur
matast burtur	Samheiti:avlógvast,etjast,frosteta,marvast,mata,matast,máast,mókast,nøggast,slítast,tærastfara, detta av, sundur;gerast avrovaður, avtikin, húðarleysur, rovuleysur, slitin o.fl.;vera fyri etjing, frosteting, tæring o.fl↔burturmataður,eta,gnaga,holutur,rustur,slit,slitin,slíta upp,uppslitin,veðurbardur
matbiti	símatur
matborð	símatur
matbráður	sískundmikil
matbruður	síkelda
matbygd	síbýur,innløgupláss
matdagur	síinnløgutíð
matdirvi	sítrá
matdrúgvur	sídrúgvur
mateitran	síeitran
matepli	síepli
mateskja	síkassi
mateydna	síeydna
matfegin	Samheiti:alátin,algloypandi,átfrekur,átigur,átufrekur,átutur,fóðurfrekur,fóðurtungur,garnagrovur,góðgutur,marglatin,matfróur,matgóður,matigur,matin,matligur,ómettandi,ómettiligur,rámátin,rívin,slúkin,slúkutur,tungfóðraðurgrammur at eta;grammur eftir ráum (mati);grammur, óður eftir mati;□búkurin, magin fyllist áðrenn, fyrr enn eyguni;hann er ein sovorðin átari, kjøtravnur, matvinur, slúkur o.fl.;hann er nógv til matar, etur sum eitt grasdjór;hann etur alt sum er bleytari enn grót;hann etur alt sum ikki rørir seg;hann etur sum skøta alt at kjafti rekur, sum fyri kjaftin rekur;hann fyllist ikki heldur enn hvalurin í havinum;hann fyllist, mettast, nøktast ikki;hann fær aldri nóg mikið;hann fær ikki mettu(na);hann hevur góð innviðarbond, tolir allan mat;hann livir ikki við grælingafjaðrar;hon (kúgvin) krevur stórar íkoyringar(vera matfegin)dáma (væl) (góðan) mat;eta nógv;ikki duga afturhald;ikki kunna sær hógv, hóvsemi, magamál;vera átufrekur, góðgutur, matligur, slúkin o.fl.(ónøktiligur)botnleysur,krevjandi,orkufrekur,orkukrevjandi,ósløkkiligur,ósløkkjandi□hatta er eitt botnleyst hol, kar↔eta,etandi,kraddutur,mata,matur,svangur,tysturAndheiti:kræsin,lættfóðraður
matfeingi	símatur
matfiskur	sífiskur
matfriður	sífriður
matfróur	símatfegin
matfuglur	sífuglur
matføða	símata,uppihalda
matgera	Samheiti:ambæta,borðreiða,kokkastarbeiða í køkini, køkinum;baka, kóka, steikja o.fl.;gera mat;stákast við at...↔elta,kóka,matgerð,matur,ókókaður,røritól
matgerð	Samheiti:baking,bakstur,borðreiðing,borðreiðsla,døgurðagerð,jólasták,jólastákan,kóking,matgering,matroks,matsták,sták,stákan,tilgerð,tilgering↔hita,kóka,kókan,matgera,matur,ókókaður,steikja,tilgjørdur
matgerðarbók	sískriv
matgerðarpottur	sípottur
matgering	símatgerð
matgirnd	sítrá
matgorr	síátari
matgoymsla	sígoymsla,høli
matgóður	sídygdargóður,matfegin
mathald	síát,matur
mathol	síátari
mathugur	sítrá
mathús	síhøli
mathvalur	síendurgjald,hvalur
matigur	símatfegin
matin	símatfegin
matídnaður	síframleiðsla
matkassi	síkassi
matkendur	síetandi
matkort	síyvirlit
matkovi	sígoymsla,høli
matkrav	sítørvur
matkynt	síetandi
matla	síeta
matlag	símatur
matlast	síherkja
matleiði	símótvilji
matleivd	síavlop
matleypur	síkassi
matleysur	sísvangur
matligur	símatfegin,smakkgóður
matloysi	sífátækt,tørvur
matlyst	sítrá
matmaður	síátari
matmikil	sídygdargóður
matmoli	símatur
matmóðir	síkvinna
matnáðir	sífriður
matneyð	sítørvur
matnýti	símatur
matolja	sífitievni
matpappír	sípappír
matposi	síposi
matrikul	síyvirlit
matrikulkort	síatlas
matríkur	sídygdargóður
matroks	símatgerð
matroykur	síluktur
matrósklæði(r)	síklæði(r)
matrósur	sísjómaður
matsalur	síhøli
matseðil	síyvirlit
matseyðalamb	sígjald,seyður
matsiður	sísømileiki,vani
matsild	sífiskur
matskaffa	símata,uppihalda
matskáp	sígoymsla,høli
matskjátta	síposi
matskrá	síyvirlit
matskrín	síkassi
matsták	símatgerð
matstikni	sívaml
matstova	síhøli,sølubúð
matstrev	síarbeiði
matstundir	sífriður
matsøkin	síkraddutur
matsøla	síhandilsskapur,sølubúð
mattrot	sítørvur
matulka	síátari
matuppskrift	síleiðbeining
